epoch,app_cpu_pct,postgres_cpu_pct,app_mem,postgres_mem,host_idle_pct
1785176070,280.24,185.81,432.4MiB,335.6MiB,45.10
1785176075,221.08,199.45,431.9MiB,335.6MiB,41.26
1785176081,246.66,213.96,432.1MiB,336MiB,36.96
1785176086,148.45,139.57,432.3MiB,336.2MiB,58.67
1785176091,2.77,6.75,431.7MiB,335.9MiB,100.00
1785176096,0.16,4.63,431.2MiB,336.6MiB,99.62
1785176101,2.75,0.08,431.2MiB,336MiB,100.00
1785176106,0.20,4.62,431.1MiB,336.3MiB,100.00
1785176111,0.10,0.14,431.1MiB,336.2MiB,99.88
1785176116,0.11,4.57,431.1MiB,336.5MiB,99.75
1785176121,2.74,0.11,431.1MiB,336.1MiB,100.00
1785176126,0.12,4.57,431MiB,336MiB,100.00
1785176131,2.81,0.42,431.4MiB,335.8MiB,99.87
1785176136,1.30,4.57,431.3MiB,335.9MiB,100.00
1785176141,0.11,0.02,431.1MiB,335.7MiB,100.00
1785176146,0.11,0.00,431.1MiB,335.7MiB,100.00
1785176151,2.90,0.34,431.5MiB,335.4MiB,99.37
1785176156,1.30,4.48,430.6MiB,336MiB,99.88
1785176161,2.78,0.02,431.4MiB,336.1MiB,100.00
1785176166,0.11,4.45,431MiB,336.4MiB,100.00
1785176171,2.73,0.32,431.3MiB,336MiB,100.00
1785176177,0.95,4.57,431.3MiB,336.4MiB,100.00
1785176182,2.82,0.01,431.1MiB,336.3MiB,100.00
1785176187,0.09,4.49,431MiB,336.1MiB,99.88
1785176192,2.66,0.01,431.2MiB,336.3MiB,99.88
1785176197,0.78,4.42,430.9MiB,336.5MiB,99.88
1785176202,2.71,0.01,430.9MiB,335.5MiB,100.00
1785176207,0.08,4.51,430.7MiB,336.3MiB,99.87
1785176212,2.78,0.01,431.4MiB,335.6MiB,100.00
1785176217,0.75,4.32,431.3MiB,336.8MiB,99.87
1785176222,2.65,0.01,431.5MiB,335.9MiB,97.25
1785176227,2.31,3.72,433MiB,340.6MiB,99.50
1785176232,4.26,0.01,433.8MiB,335.8MiB,99.38
1785176237,3.09,0.01,433.8MiB,335.6MiB,99.37
1785176242,3.84,0.01,433.9MiB,335.4MiB,99.13
1785176247,3.82,0.00,433.5MiB,336.1MiB,94.75
1785176252,3.60,0.02,433.5MiB,335.3MiB,98.50
1785176257,4.54,0.00,432.9MiB,335.3MiB,99.25
1785176262,232.60,194.38,439.7MiB,336.1MiB,49.81
1785176267,198.75,182.16,434.2MiB,336.6MiB,43.99
1785176273,224.25,199.71,434.7MiB,336.8MiB,39.61
1785176278,259.98,202.32,434.2MiB,336.8MiB,59.92
1785176283,93.54,95.05,434.1MiB,337.3MiB,52.48
1785176288,187.88,175.17,434.6MiB,336.9MiB,47.29
1785176293,212.16,201.96,434.6MiB,337.6MiB,41.79
1785176298,243.20,221.21,434.4MiB,337.8MiB,38.20
1785176303,74.30,66.45,437.1MiB,337.7MiB,60.79
1785176308,184.66,167.72,437.1MiB,337.7MiB,49.02
1785176313,208.55,187.93,437.4MiB,338.4MiB,43.91
1785176318,84.86,74.81,437.5MiB,338.1MiB,57.67
1785176323,31.81,26.27,437.5MiB,338.3MiB,51.37
1785176328,85.53,75.60,437.5MiB,338.4MiB,64.61
1785176333,44.98,37.07,438MiB,338.8MiB,66.29
1785176338,207.67,182.39,437.8MiB,338.6MiB,43.62
1785176343,228.97,198.56,437.9MiB,338.9MiB,39.19
1785176349,254.79,217.87,438.5MiB,339MiB,34.55
1785176354,90.49,77.98,438.4MiB,339.2MiB,56.02
1785176359,89.04,212.74,438MiB,339.1MiB,47.53
1785176364,225.46,185.88,438.5MiB,339.2MiB,43.04
1785176369,242.67,213.54,438.2MiB,339.8MiB,40.23
1785176373,266.42,224.02,438.5MiB,339.9MiB,38.92
1785176378,83.44,79.54,438.6MiB,340.2MiB,33.16
1785176383,215.59,182.67,438.4MiB,339.9MiB,42.75
1785176388,236.34,207.96,438.7MiB,340.2MiB,38.59
1785176393,92.09,72.30,438.3MiB,340.3MiB,64.76
1785176398,53.47,45.49,438.4MiB,340.4MiB,39.87
1785176403,46.17,40.64,440.6MiB,340.8MiB,65.29
1785176408,280.62,236.82,438.4MiB,340.5MiB,46.13
1785176413,221.43,189.74,438.6MiB,340.7MiB,35.26
